incidentid,age,gender,race,schoolaffiliation,shooteroutcome,shooterdied,injury,chargesfiled,verdict,minorchargedadult,criminalhistory
19870210ARDAD,17,Male,,Student,Suicide,Yes,Suicide,,,,
19870213AZORM,17,Male,White,Student,Fled/Apprehended,No,None,,,,
19870224NYMON,Adult,Male,,No Relation,Fled/Escaped,No,None,,,,
19870224NYMON,Adult,Male,,No Relation,Fled/Escaped,No,None,,,,
19870302MODED,12,Male,White,Student,Suicide,Yes,Suicide,,,,
19870306TXRIE,19,Male,,No Relation,Fled/Apprehended,No,None,,,,
19870306TXRIE,Adult,Male,,No Relation,Fled/Apprehended,No,None,,,,
19870330CAPAS,44,Female,,No Relation,Suicide,Yes,Suicide,,,,
19870416MIMUD,14,Male,,Student,Fled/Apprehended,No,None,,,,
19870430ORGRP,16,Male,,Student,Fled/Apprehended,No,None,,,,
19870503INPII,17,Male,Black,Unknown,Fled/Apprehended,No,None,,,,
19870506ARMAJ,15,Male,,Student,Attempted Suicide,No,Wounded,,,,
19870506FLLET,15,Male,White,Student,Suicide,Yes,Suicide,,,,
19870513ILOAO,17,Male,,Student,Attempted Suicide,No,Wounded,,,,
19870928ILILL,16,Male,,Student,Fled/Apprehended,No,None,,,,
19871014ILDUC,16,Male,,Student,Fled/Apprehended,No,None,,,,
19871030NCSOK,15,Male,,Relative,Fled/Apprehended,No,None,,,,
19871104MISOD,,Male,,No Relation,Fled/Escaped,No,None,,,,
19871114FLCLC,18,Male,,Student,Suicide,Yes,Suicide,,,,
19871130TXPES,51,Male,,Intimate Relationship,Suicide,Yes,Suicide,,,,
19871202FLENJ,16,Male,,Student,Surrendered,No,None,,,,
19871204NYEAN,17,Male,,Student,Fled/Apprehended,No,None,,,,
19871215NYGRB,15,Male,,Student,Fled/Apprehended,No,None,,,,
19871216TXMAK,15,Male,Other,Student,Suicide,Yes,Suicide,,,,
19880105PASPS,20,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,None,,,,
19880106FLGAT,17,Female,,Student,Attempted Suicide,No,Wounded,,,,
19880108PACRM,15,Male,,Student,Attempted Suicide,No,None,,,,
19880120LASIR,18,Male,,Student,Unknown,No,None,Negligent Homicide,"Guilty, Negligent Homicide (plead no content), 5 years in prison",N/A,
19880129TXREA,18,Male,,Student,Fled/Apprehended,No,None,,,,
19880202ALWET,42,Male,,No Relation,Surrendered,No,None,,,,
19880202ALWET,42,Male,,No Relation,Surrendered,No,None,,,,
19880211FLPIL,15,Male,White,Student,Fled/Apprehended,No,None,,,,
19880211FLPIL,15,Male,White,Student,Fled/Apprehended,No,None,,,,
19880226RIBRB,15,Male,,Student,Fled/Apprehended,No,None,,,,
19880304MILED,13,Female,,Student,Unknown,No,None,Careless and reckless use of a firearm,,No,
19880323CACAS,,,,Unknown,Fled/Escaped,No,None,No Suspect to Charge,,,
19880324TXTRA,16,Male,,Student,Fled/Apprehended,No,None,Y,,No,
19880505ILMAC,16,Male,,Student,Surrendered,No,None,,,,
19880516FLFOF,14,Male,,Student,Fled/Apprehended,No,None,,,,
19880520ILHUW,30,Female,White,Nonstudent,Fled/Apprehended,Yes,Suicide,Murder,Suicide in custody,No,
19880531NYPUB,Adult,Male,,No Relation,Fled/Escaped,No,None,,,,
19880602MSWIJ,Adult,Male,,Former Student,Fled/Apprehended,No,None,,,,
19880602MSWIJ,Adult,Male,,Former Student,Fled/Apprehended,No,None,,,,
19880602MSWIJ,Adult,Male,,Former Student,Fled/Apprehended,No,None,,,,
19880617MIJOD,14,Male,,Student,Fled/Apprehended,No,None,,,,
19880630HIAIO,18,Male,Hawaiian/Pacific Islander,Student,Fled/Apprehended,No,None,,,,
19880710WISIM,28,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Escaped,No,None,,,,
19880711MSLAJ,17,Male,,Student,Fled/Apprehended,No,None,,,,
19880831MICED,16,Male,,Former Student,Fled/Apprehended,No,None,,,,
19880831MICED,17,Male,,Former Student,Fled/Apprehended,No,None,,,,
19880831SCWEA,20,Male,,No Relation,Fled/Apprehended,No,None,,Sentenced to death,,
19880902GAGLA,,,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Escaped,No,None,No suspect to charge,,,
19880902NCGAC,16,Male,,Student,Fled/Apprehended,No,None,Assault with a deadly weapon,,,
19880903TXLID,Teen,Male,,No Relation,Fled/Escaped,No,None,,,,
19880903TXLID,Teen,Male,,No Relation,Fled/Escaped,No,None,,,,
19880903TXLID,Teen,Male,,No Relation,Fled/Escaped,No,None,,,,
19880903TXLID,Teen,Male,,No Relation,Fled/Escaped,No,None,,,,
19880922ILMOC,40,Male,Black,No Relation,Apprehended/Killed by LE,Yes,Fatal,,,,"Yes, Unknown"
19880926SCOAG,19,Male,White,Former Student,Apprehended/Killed by LE,No,None,"2 counts of murder, 9 counts of assault and battery with intent to kill, 1 count of carrying a firearm",Conviction; sentenced to death and 175 years in prison,N/A,
19881003FLMAM,,,,Unknown,Fled/Escaped,No,None,,,,
19881004FLJEJ,,,,Unknown,Fled/Escaped,No,None,,,,
19881004LAISB,33,Female,,Teacher,Unknown,No,None,,,,
19881005MDEDB,17,Male,,Student,Unknown,No,None,,,,
19881006ALMOM,29,Female,,Relative,Fled/Apprehended,No,None,,,,
19881007MDSOB,17,Male,,Student,Fled/Apprehended,No,None,,,,
19881007TXDIP,10,Male,,Student,Fled/Apprehended,No,None,,,,
19881101FLPAJ,15,Male,,Student,Fled/Apprehended,No,None,,,,
19881107UTGLS,14,Male,,Student,Apprehended/Killed by LE,No,None,,,,
19881122TXABA,16,Male,White,Student,Fled/Apprehended,No,None,,,,
19881216VAATV,16,Male,Black,Student,Subdued by Students/Staff/Other,No,None,,,,
19890105ARHEL,19,Male,,Unknown,Unknown,No,None,First degree murder,"Guilty, second degree murder, 10 years in prison",N/A,
19890117CACLS,24,Male,White,Former Student,Suicide,Yes,Suicide,,,,Extensive history of violence
19890126DCWOW,16,Male,,Student,Fled/Apprehended,No,None,Murder,,Yes,
19890126DCWOW,18,Male,,Student,Fled/Apprehended,No,None,Murder,,Yes,
19890210UTTHK,12,Male,,Student,Fled/Apprehended,No,None,,,,
19890303INWIG,16,Male,,Student,Fled/Apprehended,No,None,Murder,6 years for Reckless homicide,Yes,
19890426TXAMD,18,Male,,Nonstudent,Fled/Apprehended,No,None,,,,
19890911AZDYE,,Male,,Student,Fled/Escaped,No,None,,,,
19890918KYJAM,17,Male,,Student,Surrendered,No,None,,Life without parole,Yes,
19891005CALOA,15,Male,,Student,Surrendered,No,None,"charges of attempted murder, aggravated assault, bringing a firearm on campus, false imprisonment and hostage-taking",,,
19891031TXOLD,14,Male,,Student,Surrendered,No,None,,,,
19891113NYALN,15,Male,,Student,Unknown,No,None,,,,
19891115TXWOA,13,Male,,Student,Fled/Apprehended,No,None,delinquent misconduct,confinement to juvenile facility,,
19891122CACHO,19,Male,Hispanic,Unknown,Fled/Apprehended,No,None,,"Second Degree Murder, Shooting From A Vehicle (20 years)",N/A,
19891204LACAS,Teen,Male,,Student,Unknown,No,None,,,,
19891205PASEM,16,Male,White,Student,Suicide,Yes,Suicide,,,,No
19891205TXWWD,18,Male,Hispanic,Unknown,Fled/Apprehended,No,None,,,,
19891212SCCHC,21,Male,,Former Student,Fled/Apprehended,No,None,,,,
19900116RICEP,17,Male,Asian,Student,Fled/Apprehended,No,None,,,,
19900220OHTAC,17,Male,,Student,Fled/Apprehended,No,None,,,,
19900327NYNEB,Teen,Male,White,Student,Fled/Escaped,No,None,,,,
19900403TXSKD,18,Male,,Student,Fled/Escaped,No,None,,,,
19900504CAMOE,17,Male,Asian,Student,Fled/Apprehended,No,None,,,,
19900520TNHIC,50,Male,,Teacher,Fled/Apprehended,No,None,,,,
19900531TXSUF,16,Male,White,No Relation,Fled/Apprehended,No,None,,,,
19900824NCMYC,,,,Unknown,Fled/Escaped,No,None,,,,
19900827NVELL,15,Male,,Student,Unknown,No,None,Murder,First-degree murder,Yes,
19900827TXWHD,,Male,,Unknown,Fled/Escaped,No,None,,,,
19900911TXSAS,,Male,Black,Student,Fled/Apprehended,No,None,,,,
19900922ALLEB,,Male,,Unknown,Fled/Escaped,No,None,,,,
19901002TXWHD,Adult,Female,Hispanic,No Relation,Fled/Escaped,No,None,No suspect to charge,,,
19901029INCHC,18,Male,White,Student,Apprehended/Killed by LE,No,None,,,,No
19901030TXNAG,32,Female,Hispanic,Parent,Apprehended/Killed by LE,No,None,Attempted murder,,N/A,
19901213LASAS,,,,Unknown,Fled/Escaped,No,None,,,,
19910108TXRIR,15,Male,White,Student,Suicide,Yes,Suicide,No suspect to charge,N/A,N/A,
19910117TXHOD,,,,Unknown,Fled/Escaped,No,None,,,,
19910117TXHOD,,,,Unknown,Fled/Escaped,No,None,,,,
19910219LABON,20,Male,Black,No Relation,Fled/Apprehended,No,None,,,,"Armed robbery, attempted murder, resisting arrest"
19910313ALSES,15,Male,,Student,Fled/Apprehended,No,None,Attempted murder and 2nd degree assault,,,
19910314SCWOP,18,Male,Black,Former Student,Fled/Apprehended,No,None,5 counts including assault and battery with the intent to kill,"15 years, 2X assault and battery with intent to kill",N/A,
19910314SCWOP,,Male,Black,Former Student,Fled/Apprehended,No,None,5 counts including assault and battery with the intent to kill,"15 years, 2X assault and battery with intent to kill",N/A,
19910325NCGAC,20,Male,,Former Student,Fled/Apprehended,No,None,"Murder, possession of weapon on school grounds",,N/A,
19910411SCNOR,18,Male,White,Student,Suicide,Yes,Suicide,N/A,,N/A,
19910423CARAC,14,Male,,Unknown,Fled/Apprehended,No,None,,,,
19910423CARAC,17,Male,,Unknown,Fled/Apprehended,No,None,,,,
19910423MSHUB,16,Male,,Student,Surrendered,No,None,,,,
19910510OHFRC,15,Male,,Student,Fled/Apprehended,No,None,Murder,,Yes,
19910516KSCOK,13,Male,,Student,Fled/Apprehended,No,None,Attempted murder,,,
19910521CAROS,20,Male,Hispanic,No Relation,Fled/Escaped,No,None,,,,
19910521FLSCP,18,Male,,Student,Subdued by Students/Staff/Other,No,None,first-degree murder and two counts of attempted murder,,No,
19910722CAWEL,,Male,,Unknown,Fled/Escaped,No,None,,,,
19910730CAENC,,Male,,Student,Fled/Escaped,No,None,,,,
19910913TXMAH,,,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Escaped,No,None,,,,
19910917ILWOC,14,Male,Black,Student,Fled/Apprehended,No,None,,,,
19910918TXCRC,15,Female,Black,Student,Unknown,No,None,Murder,,Yes,
19911002TXSPH,16,Male,,Student,Fled/Escaped,No,None,,,,
19911004CADOL,,,,Unknown,Fled/Escaped,No,None,,,,
19911004CAROL,,,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Escaped,No,None,,,,
19911009NYJAB,,Male,,Unknown,Fled/Escaped,No,None,,,,
19911011MAMAR,18,Male,Black,Unknown,Fled/Escaped,No,None,,,,
19911015NHMOS,16,Male,,Former Student,Apprehended/Killed by LE,No,None,,,,
19911015SCWOW,15,Male,,Student,Fled/Apprehended,No,None,,,,
19911015TXGEP,13,Male,,No Relation,Unknown,No,None,,,,
19911023TXOAD,18,Male,,Relative,Fled/Apprehended,No,None,,,,
19911106LAWAN,18,Male,Black,Student,Fled/Escaped,No,None,,,,
19911111TXYSE,19,Male,,Former Student,Fled/Apprehended,No,None,Murder and attempted murder,,,
19911111TXYSE,17,Male,,Former Student,Fled/Apprehended,No,None,Murder and attempted murder,,,
19911111TXYSE,18,Male,,Former Student,Fled/Apprehended,No,None,Murder and attempted murder,,,
19911111TXYSE,17,Male,,Former Student,Fled/Apprehended,No,None,Murder and attempted murder,,,
19911114TXMIH,16,Male,,Student,Apprehended/Killed by SRO,No,None,,,,
19911125NYTHB,14,Male,Black,Student,Fled/Apprehended,No,None,,,,
19911226NCWHW,18,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,None,No suspect to charge,,,
19920128LAFRG,Teen,Male,,Student,Fled/Escaped,No,None,,,,
19920131LAFRG,Teen,Male,,Student,Fled/Escaped,No,None,,,,
19920206OKDOO,14,Male,,Student,Unknown,No,None,,,,
19920207VABON,,Male,,No Relation,Fled/Escaped,No,None,,,,
19920226NYTHB,15,Male,Black,Student,Fled/Apprehended,No,None,,,,
19920305OHHAO,12,Male,White,Student,Fled/Apprehended,No,None,Felonious Assault,,No,
19920331LAOPA,15,Male,,Student,Surrendered,No,None,,,,
19920409FLFOF,16,Male,Black,Student,Fled/Apprehended,No,None,Attempted murder,Pleaded No Contest - sentenced to 12 years,Yes,
19920417TXLID,,,,Unknown,Surrendered,No,None,,,,
19920501CALIO,20,Male,White,Former Student,Surrendered,No,None,,,,
19920514CASIN,14,Male,,Student,Surrendered,No,None,,,,
19920514TXHUH,14,Male,White,Student,Surrendered,No,None,,,,
19920529CAVEL,,,,Unknown,Fled/Escaped,No,None,,,,
19920606CAMEM,17,Male,Asian,Student,Fled/Escaped,No,None,,,,
19920911TXPAA,17,Male,,Student,Fled/Apprehended,No,None,,,,
19920928CAHIS,18,Male,Asian,Student,Fled/Apprehended,No,None,,,,
19920928CAHIS,19,Male,Asian,Student,Fled/Apprehended,No,None,,,,
19920928CAHIS,20,Male,Asian,Student,Fled/Apprehended,No,None,,,,
19920930TXHOH,15,Male,White,Student,Fled/Apprehended,No,None,,,,
19921013AZDET,20,Male,White,No Relation,Fled/Apprehended,No,None,First Degree Murder,,,
19921019NYEVB,,Male,Black,Student,Fled/Escaped,No,None,,,,
19921104MIFID,Minor,Male,Black,Student,Fled/Apprehended,No,None,,,,
19921104MIFID,18,Male,Black,Student,Fled/Apprehended,No,None,,,,
19921104MIFID,18,Male,Black,Student,Fled/Apprehended,No,None,,,,
19921104MIMAD,,,,Unknown,Fled/Escaped,No,None,,,,
19921104MIMUD,14,Male,,No Relation,Fled/Apprehended,No,None,Assault with intent to commit murder,,,
19921104MIMUD,14,Female,,No Relation,Fled/Apprehended,No,None,Assault with intent to commit murder,,,
19921104MIMUD,13,Female,,No Relation,Fled/Apprehended,No,None,Assault with intent to commit murder,,,
19921110ILSHC,13,Male,,Student,Suicide,Yes,Suicide,N/A,,,
19921113TXLAC,39,Male,,Intimate Relationship,Suicide,Yes,Suicide,,,,
19921116ALFAB,Teen,Male,,Student,Fled/Escaped,No,None,,,,
19921120ILTIC,15,Male,,Student,Fled/Apprehended,No,None,,,,
19921124ALROM,18,,,Student,Unknown,No,None,,,,
19921130ILORC,17,Male,,Student,Fled/Apprehended,No,None,,,,
19921203ILWOC,23,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,None,,,,
19921203ILWOC,Adult,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,None,,,,
19921214NYWAW,15,Male,,Student,Surrendered,No,None,,,,
19930105NYBRB,Teen,Male,,Rival School Student,Fled/Escaped,No,None,,,,
19930105NYBRB,Teen,Male,,Rival School Student,Fled/Escaped,No,None,,,,
19930112FLNOM,Teen,Male,,Student,Fled/Escaped,No,None,,,,
19930118KYEAG,17,Male,White,Student,Surrendered,No,None,two counts of capital murder and 22 counts of kidnapping,Life without parole,Yes,
19930121CAFAL,Teen,Male,,Student,Surrendered,No,None,,,,
19930201NYAMA,17,Male,,Student,Fled/Apprehended,No,None,,,,
19930201WARER,14,Male,,Student,Suicide,Yes,Suicide,,,,
19930204GACLA,17,Male,,Nonstudent,Surrendered,No,None,,,,
19930208DCWAW,,Male,,Unknown,Fled/Escaped,No,None,,,,
19930208MNMIM,14,Male,,Student,Suicide,Yes,Suicide,,,,
19930222CAREL,15,Male,Black,Student,Fled/Apprehended,No,None,,,,
19930226MAGLG,15,Male,,Student,Suicide,Yes,Suicide,,,,
19930308VADOD,32,Male,Black,No Relation,Fled/Apprehended,No,None,First-degree murder,First-degree murder,No,
19930318GAHAH,15,Male,,Student,Apprehended/Killed by LE,No,None,Murder,5 years probation for bringing gun to school,,
19930325MOSUS,17,Female,,Student,Unknown,No,None,First degree murder,,,
19930403CAGRS,,Male,,Unknown,Fled/Escaped,No,None,,,,
19930415MAFOA,42,Male,White,No Relation,Subdued by Students/Staff/Other,No,None,,"arson, kidnapping and assault with a dangerous weapon in the April 14, 1993, incident, but also found not guilty by reason of insanity in the killing of Carole Day. Sentenced to 30 years in prison where he received mental health treatment. Released in 201",N/A,
19930416CAGRS,,,,Unknown,Fled/Escaped,No,None,,,,
19930416WAMOT,33,Female,,No Relation,Suicide,Yes,Suicide,,,,
19930514TXNII,17,Male,Hispanic,Student,Fled/Apprehended,No,None,,,,
19930524PAUPP,15,Male,White,Student,Surrendered,No,None,,,,
19930527LAFRN,17,Male,Black,Student,Fled/Apprehended,No,None,,,,
19930707CADOL,Teen,Male,,Student,Fled/Escaped,No,None,,,,
19930803NYTHN,,Male,,Unknown,Fled/Escaped,No,None,,,,
19930831GAHAA,15,Male,Black,Student,Unknown,No,None,,,,
19930901KSJUJ,15,Male,,Student,Fled/Apprehended,No,None,,,,
19930902TXROD,16,Male,,Student,Fled/Apprehended,No,None,,,,
19930916ILROC,,Male,,Unknown,Fled/Escaped,No,None,,,,
19930917ILDOD,16,Male,White,Other Student,Fled/Apprehended,No,None,,"Powell, then 16, was sentenced to 37 years in prison. He was found guilty of murder and unlawful use of weapons",Yes,
19930917WYCES,29,Male,White,No Relation,Suicide,Yes,Suicide,,,,
19930925DCWEW,23,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,None,,,,
19930925DCWEW,15,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,None,,,,
19930928MSCOG,16,Male,,Student,Fled/Apprehended,No,None,,,,
19931012DEDON,16,Female,,Student,Suicide,Yes,Suicide,,,,
19931018DCJHW,15,Male,,Student,Fled/Apprehended,No,None,,,,
19931101ILSUC,16,Male,,Student,Fled/Apprehended,No,None,,,,
19931104CTNEN,20,Male,Hispanic,Unknown,Fled/Apprehended,No,None,,,,
19931104FLTEJ,19,Male,,Student,Fled/Apprehended,No,None,,,,
19931104MSBAB,,,,Unknown,Fled/Escaped,No,None,,,,
19931111ILRIS,,,,Unknown,Fled/Escaped,No,None,,,,
19931201WIWAW,21,Male,White,Former Student,Fled/Apprehended,No,None,,,,
19931202CTNEN,,Male,,Unknown,Fled/Escaped,No,None,,,,
19931208GABES,16,Male,,Nonstudent,Fled/Apprehended,No,None,,,,
19931215CACHS,14,Male,,Student,Fled/Apprehended,No,None,,,,
19931217MICHC,Teen,Male,,Teacher,Surrendered,No,None,,,,
19940120CALOH,Teen,Male,,Student,Fled/Escaped,No,None,,,,
19940121TXKEK,17,Male,,Student,Suicide,Yes,Suicide,Suicide,,,
19940124SCEAC,18,Male,Black,Student,Fled/Apprehended,No,None,,Acquitted of murder,,
19940126DCELW,,,,Unknown,Fled/Escaped,No,None,,,,
19940126DCPAW,Teen,Male,,Unknown,Fled/Apprehended,No,None,,,,
19940127CAWAS,Adult,Male,N/A,No Relation,Fled/Apprehended,No,None,,,,
19940131WAWHS,24,Male,White,Former Student,Fled/Apprehended,No,None,Murder,"Murder, served 9 years",N/A,
19940208MIOSD,,,,Unknown,Fled/Escaped,No,None,,,,
19940218SCSPS,Adult,Male,,Unknown,Fled/Apprehended,No,None,,,,
19940301MOKEB,33,Male,Black,Intimate Relationship,Surrendered,No,None,First degree murder ,Two counts of murder and life without parole,N/A,
19940303ALENB,17,Male,,Student,Fled/Apprehended,No,None,,"Attempted Murder, assault with attempt to kill",,
19940309DCEAW,17,Male,,Student,Fled/Apprehended,No,None,,,,
19940315SCGOC,Teen,Male,,Student,Fled/Escaped,No,None,,,,
19940323WABAS,16,Male,Hispanic,Unknown,Fled/Apprehended,No,None,,"first-degree murder, two counts of attempted murder and assault for firing a gun ",,
19940325GAETC,15,Male,,Student,Suicide,Yes,Suicide,Suicide,,,
19940405TXMCA,16,Male,,Student,Surrendered,No,None,,,,
19940408MDLAU,17,Male,,Student,Fled/Apprehended,No,None,"assault with intent to murder, possession of a firearm on school property and use of a firearm in the commission of a felony",,Yes,
19940412MTMAB,10,Male,White,Student,Apprehended/Killed by LE,No,None,,Sentenced to psychiatric hospital,No,
19940413CA49L,10,Male,White,Student,Suicide,Yes,Suicide,suicide,,,
19940419DCELW,,,,Unknown,Fled/Escaped,No,None,,,,
19940420INDIS,14,Male,,Student,Unknown,No,None,"Illegal possession of handgun, criminal recklessness.",,,
19940421TNJTN,14,Male,Black,Student,Fled/Apprehended,No,None,criminally negligent homicide and carrying a weapon on school property,,,
19940502FLNON,18,Male,,Student,Unknown,No,None,"Aggravated battery, manslaughter ",,,
19940525INLAS,16,Male,,Student,Fled/Apprehended,No,None,,,,
19940525NJLAW,17,Female,,Student,Suicide,Yes,Suicide,,,,
19940526KYLAU,17,Male,White,Student,Subdued by Students/Staff/Other,No,None,,Shrout was sentenced to life in prison with the possibility of parole in 25 years,Yes,
19940724PAMAM,15,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,None,,,,
19940725IAOTO,16,Male,,Student,Fled/Apprehended,No,None,,,,
19940907CAHOL,,Male,,Unknown,Fled/Escaped,No,None,,,,
19940908NYSWA,14,Male,,Student,Fled/Apprehended,No,None,Attempted murder,,No,
19940919CALOL,,Male,,Unknown,Fled/Escaped,No,None,,,,
19940922ORLEL,15,Male,,Student,Unknown,No,None,,,,
19941012NCGRG,16,Male,White,Student,Suicide,Yes,Suicide,,,,
19941017ILHUC,,Male,,Unknown,Fled/Escaped,No,None,,,,
19941031CAALA,16,Male,,Student,Attempted Suicide,No,Wounded,,,,
19941105CATHS,Adult,Male,,Unknown,Fled/Escaped,No,None,,,,
19941107OHWIW,37,Male,White,Former Student,Unknown,No,None,,,,
19941108IAWEM,16,Male,,Student,Fled/Escaped,No,None,,,,
19941115WASTT,17,Male,White,Student,Suicide,Yes,Suicide,,,,
19950105DCCAW,14,Male,Black,Student,Fled/Apprehended,No,None,First Degree Murder,Plead Guilty to Second Degree Murder,No,
19950110FLPAP,15,Male,,Student,Suicide,Yes,Suicide,,,,
19950112WAGAS,15,Male,Black,Student,Fled/Apprehended,No,None,First Degree attempted murder,,,
19950123CASAR,13,Male,White,Student,Fled/Escaped,Yes,Suicide,,,,
19950124DCSPW,16,Male,,Rival School Student,Fled/Apprehended,No,None,assault with intent to kill,,Yes,
19950202CAJOL,,Male,,Unknown,Fled/Escaped,No,None,,,,
19950208NECHS,13,Male,,Student,Unknown,No,None,,,,
19950303MIPED,,,,Unknown,Fled/Escaped,No,None,,,,
19950327MIRED,18,Male,,Student,Fled/Apprehended,No,None,Felony assault,,,
19950614FLLAL,19,Male,,Former Student,Fled/Apprehended,No,None,aggravated battery,,,
19950829TXMEL,12,Male,White,Student,Fled/Apprehended,No,None,Murder,,,
19950912TNCYM,15,Male,Black,Student,Unknown,No,None,,,,
19950914KSOLO,17,Male,Black,Rival School Student,Fled/Apprehended,No,None,"Two counts of murder, four counts of aggravated battery, and one count of unlawful possession of a firearm",,,
19950915KYGEW,Teen,Male,,Student,Unknown,No,None,,,,
19950927ALBLP,19,Male,,Relative,Unknown,No,None,First degree assault,,,
19950929FLTAT,14,Male,White,Student,Fled/Apprehended,No,None,first-degree murder charges as an adult,first-degree murder ,,
19951012SCBLB,16,Male,Black,Student,Suicide,Yes,Suicide,Suicide,,,
19951023FLLAC,16,Female,,Student,Other,No,Wounded,"Three felony and two misdemeanor charges: discharging a weapon on school property, filing a false report, and possession of a weapon on school property",,,
19951030VAJOR,17,Male,Black,Student,Fled/Apprehended,No,None,Four counts of malicious wounding and using a firearm in a felony,Tried as an adult and convicted,,
19951102FLBLM,42,Male,Asian,No Relation,Apprehended/Killed by LE,Yes,Fatal,Killed,,,
19951115TNRIL,17,Male,White,Student,Subdued by Students/Staff/Other,No,None,Murder and attempted murder,"Convicted as an adult of one count of first-degree murder, one count of second-degree murder, and one count of first-degree attempted murder. He was sentenced to life in prison without the possibility of parole",Yes,
19951128NYTHN,,Male,,Unknown,Fled/Escaped,No,None,,,,
19960102PAGIG,16,Male,,Unknown,Suicide,Yes,Suicide,suicide,,N/A,
19960119DCWIW,18,Male,Black,Unknown,Fled/Apprehended,No,None,first-degree murder,first-degree murder,N/A,
19960126TNEAM,Adult,,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Escaped,No,None,,,,
19960202WAFRM,14,Male,White,Student,Subdued by Students/Staff/Other,No,None,first-degree murder,"2 counts first-degree murder, 1 count second-degree murder, 1 count attempted first-degree murder, 16 counts aggravated kidnapping",Yes,
19960208CAMIM,16,Male,White,Student,Suicide,Yes,Suicide,,,,
19960222GAJES,15,Male,Black,Student,Fled/Apprehended,No,None,,,,
19960229MOBES,21,Male,Black,Hitman,Fled/Apprehended,No,None,"Malik - murder; Boyd - first degree murder student, second degree murder baby , statutory rape",,No,
19960311NCNON,15,Male,White,Student,Suicide,Yes,Suicide,,,,
19960319NVSWL,Teen,,,Student,Unknown,No,None,,,,
19960411ALTAT,16,Male,,Student,Unknown,No,None,,,,
19960415DCMCW,,,,Unknown,Unknown,No,None,,,,
19960514UTBIT,15,Male,White,Student,Suicide,Yes,Suicide,,,,
19960522CACOC,14,Male,Hispanic,Former Student,Fled/Apprehended,No,None,Murder,"Guilty, Murder",Yes,
19960604CAWEH,16,Male,,Student,Suicide,Yes,Suicide,Killed,,,
19960726CAJOL,18,Male,Hispanic,Student,Fled/Apprehended,No,None,,,,
19960925GADED,16,Male,Black,Student,Subdued by Students/Staff/Other,No,None,,,,
19961002PASMP,Adult,Male,,Parent,Fled/Apprehended,No,None,,,,
19961004CASTP,17,Male,,Student,Fled/Apprehended,No,None,,,,
19961009ARJAS,14,Male,Black,Student,Fled/Apprehended,No,None,,,,
19961014MOSUS,14,Male,,Student,Fled/Apprehended,No,None,,Convicted of 2nd degree murder 1/28/98,,
19961127CAHIS,,,,Police Officer/SRO,Law Enforcement,No,None,,,,
19970108NYCRN,18,Male,Hispanic,Rival School Student,Fled/Apprehended,No,None,2 counts Murder second degree; 1 count attempted murder second degree;2 counts assault second degree; 2 counts assault third degree; 1 count reckless endangerment; 3 counts criminal possession weapon,first degree manslaughter; first degree assault; three second degree criminal weapons possession,,
19970108NYCRN,18,Male,Hispanic,Rival School Student,Fled/Apprehended,No,None,2 counts Murder second degree; 1 count attempted murder second degree;2 counts assault second degree; 2 counts assault third degree; 1 count reckless endangerment; 3 counts criminal possession weapon,first degree manslaughter; first degree assault; three second degree criminal weapons possession,,
19970108NYCRN,21,Male,Hispanic,Rival School Student,Fled/Apprehended,No,None,2 counts Murder second degree; 2 count attempted murder second degree;2 counts assault second degree; 2 counts assault third degree; 1 count reckless endangerment; 3 counts criminal possession weapon,first degree manslaughter; first degree assault; three second degree criminal weapons possession,,
19970127FLCOW,13,Male,Black,Student,Fled/Apprehended,No,None,,,,
19970206MSWIJ,16,Male,Black,Student,Fled/Apprehended,No,None,Aggravated assault,Aggravated assault,No,
19970213NYMOB,17,Male,,Student,Unknown,No,None,assault and criminal possession of a weapon,,,
19970213NYSAB,Teen,Male,,Student,Fled/Escaped,No,None,,,,
19970219AKBEB,16,Male,Native American/Alaska Native,Student,Surrendered,No,None,"2 counts, 1st degree murder
1 count, attempted murder
15 counts, assault",Guilty on all charges and sentenced to 210 years,Yes,
19970220FLFIJ,17,Female,,Student,Suicide,Yes,Suicide,N/A,,N/A,
19970221NVRAL,20,Male,Other,Unknown,Fled/Apprehended,No,None,,,N/A,
19970317MIPED,15,Male,,Student,Fled/Apprehended,No,None,,,,
19970403CAMAM,,,,Unknown,Fled/Escaped,No,None,,,,
19970428CAJOL,15,Male,,Student,Fled/Apprehended,No,None,,,,
19970430NYCIN,,,,Unknown,Fled/Escaped,No,None,,,,
19970513FLNOM,17,Male,,Student,Fled/Apprehended,No,None,,,,
