incidentid,race,injury,gender,schoolaffiliation,age
19871114FLCLC,,None,Male,Student,18
19871130TXPES,,Fatal,Female,Teacher,35
19871202FLENJ,,None,,,
19871204NYEAN,,Wounded,Female,Teacher,23
19871215NYGRB,,Wounded,Male,Student,16
19871216TXMAK,,None,Male,Student,15
19880105PASPS,,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,17
19880106FLGAT,White,None,Female,Student,17
19880108PACRM,,Wounded,Male,Student,15
19880120LASIR,,Fatal,Female,Student,17
19880129TXREA,Black,Fatal,Female,Student,17
19880202ALWET,,None,,,
19880211FLPIL,,Wounded,Female,Teacher,Adult
19880211FLPIL,,Fatal,Male,Other Staff,Adult
19880211FLPIL,,Wounded,Male,Other Staff,22
19880226RIBRB,,Wounded,Male,Student,15
19880304MILED,,Wounded,,Student,12
19880323CACAS,,None,,,
19880324TXTRA,,None,,,
19880505ILMAC,,Wounded,Male,Student,18
19880516FLFOF,,Wounded,Male,Student,14
19880520ILHUW,,Fatal,Male,Student,8
19880520ILHUW,,Wounded,Male,No Relation,20
19880520ILHUW,,Wounded,Female,Student,Child
19880520ILHUW,,Wounded,Female,Student,Child
19880520ILHUW,,Wounded,Male,Student,Child
19880520ILHUW,,Wounded,Male,Student,Child
19880520ILHUW,,Wounded,Male,Student,Child
19880531NYPUB,,Wounded,Female,Teacher,27
19880602MSWIJ,,Wounded,Male,Student,18
19880602MSWIJ,,Wounded,Male,Student,17
19880617MIJOD,,Wounded,Male,Student,15
19880630HIAIO,White,Wounded,Female,Teacher,41
19880710WISIM,,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Adult
19880711MSLAJ,Black,Wounded,Male,Student,16
19880831MICED,,Wounded,Male,Student,17
19880831SCWEA,,Fatal,Male,Principal/Vice-Principal,35
19880902GAGLA,,Wounded,Male,Other Staff,Adult
19880902GAGLA,,Wounded,Male,Other Staff,Adult
19880902NCGAC,,Wounded,Male,Other Staff,42
19880902NCGAC,,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,20
19880902NCGAC,,Wounded,Male,Student,18
19880902NCGAC,,Wounded,Female,Unknown,
19880903TXLID,,Wounded,Male,Student,15
19880903TXLID,,Wounded,Female,Student,15
19880922ILMOC,,Fatal,Male,Other Staff,33
19880922ILMOC,,Fatal,Male,No Relation,26
19880922ILMOC,Hispanic,Wounded,Male,Police Officer/SRO,38
19880922ILMOC,,Fatal,Female,Police Officer/SRO,40
19880922ILMOC,,Fatal,Male,No Relation,41
19880922ILMOC,,Wounded,Male,No Relation,35
19880926SCOAG,,Wounded,Female,Teacher,Adult
19880926SCOAG,,Wounded,Male,Student,6
19880926SCOAG,,Wounded,Female,Teacher,Adult
19880926SCOAG,Black,Wounded,Female,Student,6
19880926SCOAG,,Wounded,Female,Student,8
19880926SCOAG,White,Wounded,Female,Student,6
19880926SCOAG,Black,Fatal,Female,Student,8
19880926SCOAG,Black,Fatal,Female,Student,8
19880926SCOAG,,Wounded,,Student,8
19880926SCOAG,,Wounded,,Student,8
19880926SCOAG,,Wounded,,Student,8
19881003FLMAM,,Wounded,Female,Student,Teen
19881004FLJEJ,,Wounded,Female,Student,Teen
19881004FLJEJ,,Wounded,Female,Student,Teen
19881004FLJEJ,,Wounded,Female,Student,Teen
19881004FLJEJ,,Wounded,Female,Student,Teen
19881004FLJEJ,,Wounded,Female,Student,Teen
19881004LAISB,,None,,Other Staff,Adult
19881005MDEDB,,Wounded,Female,Student,15
19881006ALMOM,,Wounded,Female,Teacher,35
19881007MDSOB,,Wounded,Male,Student,17
19881007TXDIP,,Wounded,Female,Bus Driver,40
19881101FLPAJ,,None,Male,Student,18
19881107UTGLS,,Wounded,Male,Student,Teen
19881122TXABA,,Wounded,Male,Teacher,Adult
19881216VAATV,,Fatal,Female,Teacher,41
19881216VAATV,,Wounded,Male,Teacher,37
19890105ARHEL,,Fatal,Male,Student,16
19890117CACLS,,Wounded,Female,Teacher,Adult
19890117CACLS,Asian,Fatal,Female,Student,8
19890117CACLS,Asian,Wounded,Male,Student,7
19890117CACLS,Asian,Fatal,Female,Student,8
19890117CACLS,Asian,Fatal,Male,Student,9
19890117CACLS,White,Wounded,Male,Student,6
19890117CACLS,Asian,Wounded,Female,Student,7
19890117CACLS,Asian,Fatal,Female,Student,6
19890117CACLS,Asian,Fatal,Female,Student,6
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890117CACLS,,Wounded,,Student,Child
19890126DCWOW,,Wounded,Male,Student,Teen
19890126DCWOW,,Wounded,Male,Student,Teen
19890126DCWOW,,Wounded,Male,Student,Teen
19890126DCWOW,,Wounded,Male,Student,Teen
19890210UTTHK,,None,Male,Principal/Vice-Principal,Adult
19890303INWIG,Black,Fatal,Male,Student,17
19890426TXAMD,,Wounded,Male,Student,16
19890911AZDYE,White,Fatal,Male,Student,15
19890918KYJAM,,None,,,
19891005CALOA,,Wounded,Male,Student,14
19891031TXOLD,,Wounded,Male,Student,14
19891113NYALN,,Fatal,Male,Student,17
19891115TXWOA,,Wounded,Male,Principal/Vice-Principal,44
19891122CACHO,Hispanic,Fatal,Male,Gang Member,20
19891204LACAS,,Wounded,Male,Student,Teen
19891205PASEM,,Wounded,Male,Student,Teen
19891205TXWWD,,Wounded,Male,Teacher,50
19891212SCCHC,,Wounded,Male,Student,15
19900116RICEP,,Wounded,Male,Student,Teen
19900116RICEP,,Wounded,Female,Student,Teen
19900220OHTAC,,Fatal,Male,Former Student,18
19900327NYNEB,,Wounded,Male,Student,Teen
19900403TXSKD,,Wounded,Male,Student,16
19900504CAMOE,White,Fatal,Male,Student,15
19900504CAMOE,Black,Wounded,Male,Student,15
19900520TNHIC,,Fatal,Male,Principal/Vice-Principal,Adult
19900531TXSUF,,Wounded,Male,Student,Teen
19900531TXSUF,,Wounded,Male,Student,Teen
19900824NCMYC,,Fatal,Male,Student,Teen
19900827NVELL,,Fatal,Male,Student,Teen
19900827TXWHD,,None,,Student,Teen
19900911TXSAS,,Wounded,Male,Student,Teen
19900911TXSAS,,Wounded,Male,Student,Teen
19900911TXSAS,,Wounded,Male,Student,Teen
19900922ALLEB,,Wounded,Male,No Relation,16
19900922ALLEB,,Wounded,Male,No Relation,19
19901002TXWHD,Hispanic,Wounded,Female,Student,Teen
19901029INCHC,,None,,,
19901030TXNAG,,Wounded,Male,Principal/Vice-Principal,Adult
19901213LASAS,,None,,,
19910108TXRIR,White,None,Male,Student,16
19910117TXHOD,,Wounded,Female,Student,15
19910219LABON,Black,Fatal,Male,Student,15
19910219LABON,Black,Wounded,Female,Student,18
19910313ALSES,,Wounded,Male,Student,18
19910313ALSES,,Wounded,Male,Student,17
19910314SCWOP,,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,20
19910314SCWOP,,Wounded,Female,Nonstudent Using Athletic Facilities/Attending Game,20
19910314SCWOP,,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,20
19910314SCWOP,,Wounded,Female,Nonstudent Using Athletic Facilities/Attending Game,11
19910325NCGAC,,Fatal,Male,Former Student,21
19910411SCNOR,,None,Female,Student,Teen
19910423CARAC,,Fatal,Male,Student,11
19910423MSHUB,,Wounded,Male,Student,16
19910510OHFRC,,Fatal,Male,Student,18
19910516KSCOK,,Wounded,Male,Student,13
19910516KSCOK,,Wounded,Female,Student,13
19910521CAROS,,Fatal,Male,Student,Teen
19910521FLSCP,,Wounded,Male,Student,Teen
19910521FLSCP,,Wounded,Male,Student,Teen
19910521FLSCP,,Fatal,Female,Student,15
19910722CAWEL,,Wounded,Male,Student,Teen
19910730CAENC,,Wounded,Male,Student,Teen
19910913TXMAH,,Fatal,Male,Student,Teen
19910917ILWOC,,Wounded,Male,Student,Teen
19910918TXCRC,,Fatal,Male,Student,17
19911002TXSPH,,Wounded,Male,Student,Teen
19911004CADOL,,Wounded,Male,Student,Teen
19911004CADOL,,Wounded,Male,Student,Teen
19911004CAROL,,None,,,
19911009NYJAB,Black,Fatal,Male,Student,Teen
19911011MAMAR,Black,Wounded,Male,Nonstudent,17
19911015NHMOS,,Wounded,,Student,Teen
19911015NHMOS,,Wounded,,Student,Teen
19911015SCWOW,,None,,,
19911015TXGEP,,Wounded,Male,Student,Teen
19911023TXOAD,,Fatal,Male,Student,Teen
19911106LAWAN,,Fatal,Male,Student,Teen
19911106LAWAN,,Wounded,Male,Student,Teen
19911111TXYSE,,Fatal,Male,Student,15
19911111TXYSE,,Wounded,Male,Student,18
19911114TXMIH,,Wounded,Male,Student,18
19911125NYTHB,,Fatal,Male,Student,16
19911125NYTHB,,Wounded,Male,Teacher,48
19911226NCWHW,,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Adult
19911226NCWHW,,Wounded,Male,Nonstudent Using Athletic Facilities/Attending Game,Adult
19920128LAFRG,,Wounded,Male,Student,14
19920131LAFRG,,Wounded,Male,Student,13
19920206OKDOO,,Fatal,Male,Student,Teen
19920207VABON,,Fatal,Male,Student,19
19920207VABON,,Wounded,Male,Student,18
19920226NYTHB,,Fatal,Male,Student,17
19920226NYTHB,,Fatal,Male,Student,16
19920305OHHAO,,Wounded,Male,Student,Teen
19920331LAOPA,,Fatal,Male,Student,Teen
19920409FLFOF,,Wounded,Male,Student,18
19920417TXLID,,Fatal,Male,Former Student,Adult
19920501CALIO,,Fatal,Male,Teacher,Adult
19920501CALIO,,Wounded,,Student,Teen
19920501CALIO,,Wounded,,Student,Teen
19920501CALIO,,Wounded,,Student,Teen
19920501CALIO,,Wounded,,Student,Teen
19920501CALIO,,Wounded,,Teacher,Adult
19920501CALIO,,Fatal,Male,Student,16
19920501CALIO,,Fatal,Male,Student,17
19920501CALIO,,Fatal,Male,Student,Teen
19920501CALIO,,Wounded,,Student,Teen
19920501CALIO,,Wounded,,Student,Teen
19920501CALIO,,Wounded,,Student,Teen
19920501CALIO,,Wounded,,Student,Teen
19920501CALIO,,Wounded,,Student,Teen
19920514CASIN,,Wounded,Male,Student,Teen
19920514CASIN,,Wounded,Male,Student,Teen
19920514TXHUH,,Wounded,Male,Student,Teen
19920529CAVEL,,Wounded,Male,Student,Teen
19920529CAVEL,,Wounded,Male,Student,Teen
19920529CAVEL,,Wounded,Male,Student,Teen
19920606CAMEM,,Wounded,Male,Former Student,23
19920911TXPAA,,Wounded,Male,Student,Teen
19920911TXPAA,,Wounded,Male,Student,Teen
19920911TXPAA,,Wounded,Male,Student,Teen
19920911TXPAA,,Wounded,Male,Student,Teen
19920911TXPAA,,Wounded,Male,Student,Teen
19920911TXPAA,,Wounded,Male,Student,Teen
19920911TXPAA,,Wounded,Male,Student,Teen
19920928CAHIS,,Wounded,Male,Student,16
19920928CAHIS,,Wounded,Male,Student,18
19920930TXHOH,,Fatal,Male,Gang Member,
19920930TXHOH,,Wounded,Male,Gang Member,
19921013AZDET,,Fatal,Male,Student,16
19921019NYEVB,,Wounded,Female,Student,14
19921019NYEVB,,Wounded,Female,Student,14
19921019NYEVB,,Wounded,Male,Student,16
19921104MIFID,,Minor Injuries,,Student,Teen
19921104MIFID,,Minor Injuries,,Student,Teen
19921104MIFID,,Minor Injuries,,Student,Teen
19921104MIFID,,Minor Injuries,,Student,Teen
19921104MIFID,,Minor Injuries,,Student,Teen
19921104MIFID,,Minor Injuries,,Student,Teen
19921104MIFID,,Minor Injuries,,Student,Teen
19921104MIMAD,,Wounded,Male,Student,16
19921104MIMUD,,Wounded,Male,No Relation,Teen
19921104MIMUD,,Wounded,Male,No Relation,Teen
19921104MIMUD,,Wounded,Male,No Relation,Teen
19921110ILSHC,,None,Male,Student,13
19921113TXLAC,,Fatal,Female,Teacher,39
19921116ALFAB,,Fatal,Male,Student,16
19921120ILTIC,,Fatal,Male,Student,15
19921120ILTIC,,Wounded,Male,Student,17
19921120ILTIC,,Wounded,Male,Student,15
19921124ALROM,,Wounded,Female,Student,18
19921130ILORC,,Wounded,Male,Student,16
19921203ILWOC,,Fatal,Male,No Relation,19
19921203ILWOC,,Wounded,Male,No Relation,25
19921214NYWAW,,Wounded,Female,Teacher,49
19930105NYBRB,,Wounded,Male,Former Student,19
19930112FLNOM,Black,Fatal,Male,Student,18
19930118KYEAG,,Fatal,Male,Teacher,48
19930118KYEAG,,Fatal,Female,Teacher,51
19930121CAFAL,,Fatal,Male,Student,17
19930121CAFAL,,Wounded,Male,Student,16
19930201NYAMA,,Fatal,Male,Nonstudent,17
19930201NYAMA,,Wounded,Male,Nonstudent,17
19930201WARER,,None,Male,Student,14
19930204GACLA,,Fatal,Male,Student,Teen
19930208DCWAW,,Fatal,Male,Student,21
19930208MNMIM,,None,Male,Student,14
19930222CAREL,,Fatal,Male,Student,17
19930226MAGLG,,None,Male,Student,15
19930308VADOD,White,Fatal,Female,Teacher,45
19930318GAHAH,,Wounded,Male,Student,15
19930318GAHAH,,Fatal,Male,Student,17
19930325MOSUS,,Fatal,Male,Student,17
19930403CAGRS,,Fatal,Male,Student,16
19930403CAGRS,,Wounded,Male,Student,18
19930415MAFOA,,Fatal,Female,Other Staff,52
19930416CAGRS,,Fatal,Male,Other Staff,43
19930416WAMOT,,None,Female,No Relation,33
19930514TXNII,,Fatal,Male,Student,17
19930524PAUPP,,Fatal,Male,Student,16
19930527LAFRN,Black,Fatal,Male,Former Student,15
19930707CADOL,,Fatal,Male,Student,15
19930803NYTHN,,Wounded,Male,Student,18
19930831GAHAA,Black,Fatal,Male,Student,15
19930901KSJUJ,,Wounded,Female,Student,14
19930902TXROD,Black,Fatal,Male,Student,15
19930916ILROC,,Fatal,,,Teen
19930917ILDOD,,Fatal,Male,Nonstudent Using Athletic Facilities/Attending Game,Teen
19930917WYCES,,Minor Injuries,Male,Student,Teen
19930917WYCES,,Minor Injuries,Male,Student,Teen
19930917WYCES,,Minor Injuries,Male,Student,Teen
19930917WYCES,,Minor Injuries,Female,Student,Teen
19930925DCWEW,,Fatal,Male,No Relation,23
19930925DCWEW,,Fatal,Female,No Relation,4
19930928MSCOG,,Fatal,Male,Student,Teen
19931012DEDON,,None,Female,Student,16
19931018DCJHW,,Wounded,Male,Student,13
19931101ILSUC,,Fatal,Male,Student,15
19931104CTNEN,,Fatal,Male,Student,18
19931104FLTEJ,,Fatal,Male,Student,14
19931104MSBAB,,Fatal,Male,Student,16
19931111ILRIS,,Fatal,Male,No Relation,14
19931201WIWAW,,Fatal,Male,Teacher,46
19931202CTNEN,White,Fatal,Male,Student,18
19931208GABES,,Fatal,Male,Student,15
19931215CACHS,,Fatal,Male,Student,17
19931217MICHC,,Fatal,Male,Other Staff,Adult
19931217MICHC,,Wounded,Male,Teacher,Adult
19931217MICHC,,Wounded,Male,Teacher,Adult
19940120CALOH,,Fatal,Male,Student,17
19940121TXKEK,,None,Male,Student,17
19940124SCEAC,,Fatal,Male,Student,17
19940126DCELW,,None,,,
19940126DCPAW,,None,,,
19940127CAWAS,Hispanic,Fatal,Male,Parent,22
19940131WAWHS,,Fatal,Male,Teacher,45
19940208MIOSD,,Fatal,Male,Student,19
19940218SCSPS,,Wounded,Male,No Relation,24
19940301MOKEB,,Fatal,Male,Other Staff,58
19940301MOKEB,,Fatal,Male,Other Staff,33
19940303ALENB,,Wounded,Male,Student,15
19940309DCEAW,,Fatal,Male,Student,17
19940315SCGOC,,Fatal,Male,Student,18
19940323WABAS,,Fatal,Male,Student,16
19940323WABAS,,Wounded,Female,Student,Teen
19940325GAETC,,None,Male,Student,15
19940405TXMCA,,Wounded,Female,Student,18
19940405TXMCA,,Wounded,Female,Student,17
19940408MDLAU,,Wounded,Male,Teacher,45
19940412MTMAB,White,Fatal,Male,Student,11
19940413CA49L,,None,Male,Student,10
19940419DCELW,,Fatal,Male,No Relation,21
19940420INDIS,Black,Wounded,Male,Student,14
19940421TNJTN,Black,Fatal,Male,Student,13
19940502FLNON,,Fatal,Female,Student,18
19940525INLAS,,Wounded,Male,Student,15
19940525NJLAW,,None,Female,Student,17
19940526KYLAU,,None,,,
19940724PAMAM,,Fatal,Male,No Relation,23
19940725IAOTO,,Fatal,Male,Student,15
19940907CAHOL,,Fatal,Male,Student,17
19940908NYSWA,,Wounded,Male,Student,16
19940919CALOL,,Wounded,Female,Student,16
19940919CALOL,,Wounded,Male,Student,16
19940919CALOL,,Wounded,Male,Student,16
19940922ORLEL,,Wounded,Male,Student,15
19941012NCGRG,,Wounded,Male,Principal/Vice-Principal,Adult
19941017ILHUC,,Wounded,Female,Student,16
19941031CAALA,,None,Male,Student,Teen
19941105CATHS,,Fatal,Female,No Relation,Teen
19941107OHWIW,,Fatal,Male,Other Staff,Adult
19941107OHWIW,,Wounded,Male,Principal/Vice-Principal,Adult
19941107OHWIW,,Wounded,Male,Teacher,Adult
19941107OHWIW,,Wounded,Male,Teacher,Adult
19941107OHWIW,,Wounded,Male,Police Officer/SRO,Adult
19941108IAWEM,,Wounded,Female,Other Staff,Adult
19941115WASTT,,None,Male,Student,Teen
19950105DCCAW,,Fatal,Male,Student,Teen
19950110FLPAP,,None,Male,Student,Teen
19950112WAGAS,,Wounded,Male,Student,Teen
19950112WAGAS,,Wounded,Female,Student,Teen
19950123CASAR,,Fatal,Male,Principal/Vice-Principal,Adult
19950124DCSPW,,Wounded,Male,Student,16
19950202CAJOL,,Fatal,Male,Student,Teen
19950202CAJOL,,Wounded,Male,Student,Teen
19950208NECHS,,Wounded,Male,Teacher,35
19950303MIPED,,Wounded,Male,Student,16
19950327MIRED,,Wounded,Female,Student,15
19950614FLLAL,,Wounded,Male,Former Student,Teen
19950614FLLAL,,Wounded,Female,Student,Teen
19950829TXMEL,,Fatal,Female,Student,12
19950912TNCYM,,Fatal,Male,Student,15
19950914KSOLO,,Fatal,Male,Student,Teen
19950914KSOLO,,Fatal,Male,Former Student,Teen
19950914KSOLO,,Wounded,Male,Student,Teen
19950914KSOLO,,Wounded,Male,Student,Teen
19950914KSOLO,,Wounded,Male,Student,Teen
19950914KSOLO,,Wounded,Male,Student,Teen
19950915KYGEW,,None,,Student,Teen
19950927ALBLP,,Wounded,Male,Student,18
19950929FLTAT,Black,Fatal,Male,Student,13
19951012SCBLB,,Wounded,Male,Teacher,Adult
19951012SCBLB,,Fatal,Male,Teacher,Adult
19951023FLLAC,,None,Female,Student,16
19951030VAJOR,,Wounded,Male,Student,Teen
19951030VAJOR,,Wounded,Female,Student,16
19951030VAJOR,,Wounded,Female,Student,16
19951030VAJOR,,Wounded,Female,Student,17
19951102FLBLM,,Minor Injuries,,Student,Child
19951115TNRIL,,Wounded,Female,Teacher,49
19951115TNRIL,,Fatal,Female,Teacher,58
19951115TNRIL,,Fatal,Female,Student,16
19951128NYTHN,,Fatal,Male,Student,17
19960102PAGIG,,None,Male,Student,16
19960119DCWIW,Black,Fatal,Male,Relative,14
19960126TNEAM,Black,Fatal,Male,Student,15
19960202WAFRM,,Fatal,Male,Student,14
19960202WAFRM,,Fatal,Female,Teacher,49
19960202WAFRM,,Fatal,Male,Student,14
19960202WAFRM,,Wounded,Female,Student,13
19960208CAMIM,,Wounded,Male,Student,14
19960222GAJES,Black,Fatal,Male,Student,17
19960229MOBES,Black,Fatal,Female,Relative,1
19960229MOBES,Black,Fatal,Female,Student,15
19960229MOBES,Black,Wounded,Male,Bus Driver,60
19960311NCNON,White,None,Male,Student,15
19960319NVSWL,,Minor Injuries,Male,Student,Teen
19960319NVSWL,,Minor Injuries,Male,Student,Teen
19960411ALTAT,,Fatal,Male,Student,18
19960415DCMCW,,Fatal,Male,Former Student,23
19960514UTBIT,,Wounded,Female,Bus Driver,Adult
19960522CACOC,,Fatal,Male,Student,14
19960604CAWEH,,None,Male,Student,16
19960726CAJOL,Hispanic,Wounded,Male,Student,16
19960726CAJOL,Hispanic,Wounded,Female,Student,17
19960925GADED,,Fatal,Male,Teacher,49
19961002PASMP,,Fatal,Female,Relative,19
19961002PASMP,,Fatal,Female,Parent,26
19961004CASTP,,Fatal,Male,Student,18
19961004CASTP,,Wounded,Male,Unknown,Teen
19961009ARJAS,,Fatal,Male,Student,20
19961014MOSUS,,Fatal,Male,Student,17
19961127CAHIS,,Fatal,Male,Student,19
19970108NYCRN,,Fatal,Male,Student,18
19970108NYCRN,,Wounded,Male,Student,15
19970108NYCRN,,Wounded,Male,Student,15
19970108NYCRN,,Wounded,Male,Student,16
19970127FLCOW,,Fatal,Male,Student,14
19970206MSWIJ,Black,Wounded,Male,Student,17
19970213NYMOB,,Wounded,Male,Student,17
19970213NYSAB,,Wounded,Male,Student,16
19970219AKBEB,,Wounded,Male,Student,14
19970219AKBEB,,Fatal,Male,Student,15
19970219AKBEB,,Wounded,Male,Student,16
19970219AKBEB,,Fatal,Male,Other Staff,50
19970220FLFIJ,,None,Female,Student,17
19970221NVRAL,Hispanic,Wounded,Male,Student,16
19970317MIPED,,Fatal,Male,Student,16
19970403CAMAM,,Fatal,Male,Student,14
19970428CAJOL,,Fatal,Male,Student,17
19970430NYCIN,,Fatal,Male,Student,19
19970513FLNOM,,Wounded,Male,Student,14
19970520OHDUD,,Wounded,Male,Student,16
19970624ALJEM,,Fatal,Male,Student,18
19971001MSPEP,,Fatal,Female,Student,16
19971001MSPEP,,Fatal,Female,Student,17
19971001MSPEP,,Wounded,,Student,Teen
19971001MSPEP,,Wounded,,Student,Teen
19971001MSPEP,,Wounded,,Student,Teen
19971001MSPEP,,Wounded,,Student,Teen
19971001MSPEP,,Wounded,,Student,Teen
19971001MSPEP,,Wounded,,Student,Teen
19971001MSPEP,,Wounded,,Student,Teen
19971005OKMOO,,Wounded,Male,Unknown,17
19971010INWAG,,Fatal,Female,Student,Teen
19971010INWAG,,Wounded,Female,Student,16
19971010INWAG,,Wounded,Male,Student,19
19971014TXLAG,,None,Male,Student,19
19971015FLLIP,,Wounded,Male,Student,13
19971020CAMCO,,Fatal,Female,Student,16
19971020CAMCO,,Wounded,Female,Student,16
19971020CAMCO,,Wounded,Male,,22
19971022CAJON,,Fatal,Female,Student,16
19971107FLRIJ,,Wounded,Male,Student,17
19971107FLRIJ,,Fatal,Male,Student,14
19971113CACRS,,Fatal,Male,Parent,47
19971201KYHEW,,Fatal,Female,Student,14
19971201KYHEW,,Fatal,Female,Student,17
19971201KYHEW,,Fatal,Female,Student,15
19971201KYHEW,,Wounded,Male,Student,15
19971201KYHEW,,Wounded,Female,Student,16
19971201KYHEW,,Wounded,Female,Student,17
19971201KYHEW,,Wounded,Female,Student,16
19971201KYHEW,,Wounded,Female,Student,14
19971215ARSTS,,Wounded,Male,Student,15
19971215ARSTS,,Wounded,Female,Student,17
19980212NJHOH,,Fatal,Male,Teacher,48
19980225MIRER,,None,Male,Student,14
19980227VAMAF,,Fatal,Male,Student,17
19980324ARWEJ,,Fatal,Female,Student,12
19980324ARWEJ,,Wounded,,Student,11
19980324ARWEJ,,Wounded,,Student,12
19980324ARWEJ,,Wounded,,Student,13
19980324ARWEJ,,Wounded,,Student,13
19980324ARWEJ,,Wounded,,Student,11
19980324ARWEJ,,Wounded,,Teacher,42
19980324ARWEJ,,Fatal,Female,Student,12
19980324ARWEJ,,Fatal,Female,Student,12
19980324ARWEJ,,Fatal,Female,Student,11
19980324ARWEJ,,Fatal,Female,Teacher,32
19980324ARWEJ,,Wounded,,Student,13
19980324ARWEJ,,Wounded,,Student,13
19980324ARWEJ,,Wounded,,Student,12
19980324ARWEJ,,Wounded,,Student,12
19980325CAFED,,None,Male,Principal/Vice-Principal,Adult
19980325MICOC,,None,Male,Student,18
19980330NCGRC,,None,Female,Student,13
19980331WIOAO,,None,,,
19980423CACUL,,Wounded,Male,Student,Teen
19980423CACUL,,Wounded,Male,Student,Teen
19980424PAPAE,,Fatal,Male,Teacher,48
19980424PAPAE,,Wounded,Male,Student,14
19980424PAPAE,,Wounded,Male,Student,14
19980424PAPAE,,Wounded,Male,Student,Teen
19980428CAPHP,,Fatal,Male,No Relation,17
19980428CAPHP,,Wounded,Male,No Relation,14
19980428CAPHP,,Wounded,Male,No Relation,15
19980428WIPAP,,Wounded,Male,Other Staff,40
19980501FLNOM,,Wounded,Male,Student,17
19980501NYPUB,,Fatal,Female,Other Staff,30
19980501NYPUB,,Wounded,Female,Teacher,30
19980519TNLIF,,Fatal,Male,Student,18
19980521CARIR,,None,Male,Student,15
19980521ORTHS,,Fatal,Male,Student,17
19980521ORTHS,,Wounded,,Student,17
19980521ORTHS,,Wounded,,Student,18
19980521ORTHS,,Wounded,,Student,14
19980521ORTHS,,Wounded,,Student,16
19980521ORTHS,,Wounded,,Student,17
19980521ORTHS,,Wounded,,Student,16
19980521ORTHS,,Wounded,,Student,18
19980521ORTHS,,Wounded,,Student,15
19980521ORTHS,,Wounded,,Student,15
19980521ORTHS,,Wounded,,Student,17
19980521ORTHS,,Fatal,Male,Student,Teen
19980521ORTHS,,Wounded,,Student,16
19980521ORTHS,,Wounded,,Student,17
19980521ORTHS,,Wounded,,Student,17
19980521ORTHS,,Wounded,,Student,17
19980521ORTHS,,Wounded,,Student,15
19980521ORTHS,,Wounded,,Student,17
19980521ORTHS,,Wounded,,Student,Teen
19980521ORTHS,,Wounded,,Student,Teen
19980521ORTHS,,Wounded,,Student,Teen
19980521ORTHS,,Wounded,,Student,16
19980521ORTHS,,Wounded,,Student,17
19980521ORTHS,,Wounded,,Student,17
19980521ORTHS,,Wounded,,Student,17
19980521ORTHS,,Wounded,,Student,16
19980521ORTHS,,Wounded,,Student,17
19980521WAONO,,None,Male,Student,15
19980527CAWAP,,Fatal,Male,,14
19980527CAWAP,,Fatal,Male,,20
19980529FLSTF,White,Fatal,Female,Teacher,26
19980615VAARR,,Wounded,Male,Teacher,45
19980615VAARR,,Wounded,Female,Teacher,74
19980911CAHEG,,Wounded,Male,Student,15
19980930FLLEL,,None,Male,Student,17
19980930FLNOM,,Wounded,Male,Student,15
19980930FLNOM,,Wounded,Male,Student,17
19980930FLNOM,,Wounded,Male,Teacher,Adult
19981103PAMAP,,Fatal,Male,Student,16
19981130NYHAH,,None,Female,Student,14
19981203INERG,,Wounded,Female,Teacher,29
19981211INBEI,,Wounded,Male,Student,Child
19990108GACEC,,None,,,
19990114NYHAN,,Wounded,Male,Student,18
19990114NYHAN,,Wounded,Male,Student,16
19990121TXRIN,,None,Male,Student,15
19990211ILOME,,Fatal,Male,Student,14
19990211MSJEP,,None,Female,Teacher,Adult
19990304ILNIS,,Wounded,Male,Police Officer/SRO,57
19990416IDNON,,None,,,
19990420COCOL,White,Fatal,Female,Student,17
19990420COCOL,White,Fatal,Male,Teacher,47
19990420COCOL,White,Fatal,Male,Student,17
19990420COCOL,White,Fatal,Female,Student,18
19990420COCOL,White,Fatal,Male,Student,16
19990420COCOL,,Wounded,,Student,18
19990420COCOL,,Wounded,Male,Student,16
19990420COCOL,,Wounded,Male,Student,17
19990420COCOL,,Wounded,Female,Student,17
